,Username,Round,Status,Country,GMAT,UG GPA,UG Major,Int,Int Invite,Age,WE,Primary Industry,Primary Function,MBA Concentration
359,concon,R2,Application Submitted,,710.0,,,N,,,0.0,,,
360,tht711,R2,Admitted,,,,,N,,,0.0,,,
361,w*************,R2,Admitted,,670.0,,,N,,,,,,
362,bayareaapplicant,R1,Waitlisted with Interview,,750.0,3.65,Business,N,,,0.0,Law,Law,
363,newyorker2015,R2,Matriculating,,740.0,3.23,Economics,Y,12-16-2014,,,,,Finance
364,lietolumir,R3,Application Submitted,,750.0,,,N,,,0.0,,,
365,jmey,R3,Denied without Interview,Australia,660.0,,Accounting,N,,26.0,5.0,Education,General Management,Leadership
366,Evenstar11,R2,Invited to Interview,China,740.0,3.49,Other,Y,12-10-2014,28.0,0.0,Computer Software,Consulting,Entrepreneurship
367,Private,,,,,,,,,,,,,
368,cdj12345,R3,Application Submitted,,,,,N,,,0.0,,,
369,Private,,,,,,,,,,,,,
370,SereneWS,R3,Denied without Interview,Canada,710.0,,Business,N,,25.0,4.0,Consulting,Consulting,Finance
371,tina1202,R3,Application Submitted,,,,,N,,,0.0,,,
372,cartman01,R1,Admitted,India,760.0,,,N,,,5.0,,Marketing,
373,Private,,,,,,,,,,,,,
374,Whatsinaname,R2,Waitlisted without Interview,,720.0,,Engineering,N,,28.0,5.0,Real Estate,Business Development,Entrepreneurship
375,m*************,R2,Admitted,United States,750.0,3.58,Operations,Y,12-16-2014,29.0,6.0,Consulting,Corporate Finance,Strategy
376,amsterdamguy,R3,Admitted,,740.0,3.7,Engineering,N,,,,,,Finance
377,ramitmehta83,R3,Application Submitted,India,700.0,,Engineering,N,,,0.0,,,Entrepreneurship
378,Private,,,,,,,,,,,,,
379,jessicmt,R2,Admitted,,710.0,3.47,Liberal Arts and Humanities,Y,01-12-2015,29.0,7.0,Advertising and PR,Account Management,
380,LAD2802,R1,Admitted,,,3.85,Business,N,,,0.0,,,Marketing
381,cc2401,R3,Admitted,,730.0,3.73,,N,03-11-2015,,0.0,,Asset Management,
382,mrjoshua,R3,Waitlisted without Interview,,710.0,3.08,Other,N,,27.0,5.0,Internet and New Media,Business Development,Entrepreneurship
383,linalg,R3,Interviewed,United States,,,Liberal Arts and Humanities,Y,02-10-2015,,,,,Marketing
384,CJN38,R3,Waitlisted without Interview,,710.0,3.47,,N,,25.0,3.0,,,Finance
385,Phoebe333,R2,Denied without Interview,,,,,N,,27.0,4.0,Manufacturing,Marketing,Marketing
386,ykk2015,R3,Application Submitted,India,720.0,2.74,Engineering,N,,28.0,5.0,Energy and Utilities,Marketing,Strategy
387,FlightNight,R3,Interviewed,Canada,710.0,3.78,Engineering,Y,03-03-2015,,0.0,Aerospace and Defense,Engineering,
388,feiren1020,R2,Denied without Interview,,720.0,,,N,,,0.0,,,
389,kmac,R2,Denied without Interview,,,,,N,,,0.0,,,
390,DancerInTheDark,R2,Application Submitted,,,,,N,,,0.0,,,
391,R3APP,R4,Application Submitted,India,,,Engineering,N,,28.0,5.0,,,
392,Private,,,,,,,,,,,,,
393,JayClayTay,R2,Admitted,,720.0,,,N,,,0.0,,,Entrepreneurship
394,Jmbf89,R1,Admitted,,730.0,3.47,Economics,N,,,0.0,Consulting,Consulting,Strategy
395,venusai,R3,Admitted,United States,710.0,3.6,Communication,N,,25.0,0.0,Entertainment and Sports,Business Development,
396,mkrhappy,R2,Waitlisted with Interview,,740.0,,,N,,,0.0,,,
397,Private,,,,,,,,,,,,,
398,sn88,R1,Admitted,,,,,N,,,0.0,,,
399,secomedy,R3,Admitted,,740.0,3.18,Accounting,N,,,0.0,Accounting,,
400,nfolio1234,R4,Denied with Interview,,,,,Y,05-05-2015,,0.0,,,
401,Private,,,,,,,,,,,,,
402,Private,,,,,,,,,,,,,
403,mabe7731,R1,Applying,,,,,N,,,0.0,,,
404,manas0109,R1,Applying,,,,,N,,,0.0,,,
405,Private,,,,,,,,,,,,,
406,MBAAdmit12345,R3,Admitted,,,,,N,,,0.0,,,
